Name,Load,Date,Hour,Day,IsWeekend,Month,Season,newYearsDay,newYearsDayObserved,martinLutherKingJrDay,washingtonsBirthday,memorialDay,juneteenthNationalIndependenceDay,independenceDay,laborDay,columbusDay,veteransDayObserved,veteransDay,thanksgivingDay,christmasDay,newYearsEve,christmasEve,valentinesDay,halloween,thanksgiving,blackFriday,cyberMonday,easter
N.Y.C.,5682.7,2005-02-05,22,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5971.0,2005-02-05,23,Saturday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5894.8,2005-02-06,0,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5721.9,2005-02-06,1,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5574.9,2005-02-06,2,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5377.1,2005-02-06,3,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5096.8,2005-02-06,4,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4778.1,2005-02-06,5,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4514.7,2005-02-06,6,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4347.3,2005-02-06,7,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4250.0,2005-02-06,8,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4213.9,2005-02-06,9,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4262.2,2005-02-06,10,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4358.2,2005-02-06,11,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4446.5,2005-02-06,12,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4699.9,2005-02-06,13,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4976.8,2005-02-06,14,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5186.6,2005-02-06,15,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5307.7,2005-02-06,16,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5351.7,2005-02-06,17,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5300.0,2005-02-06,18,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5315.5,2005-02-06,19,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5313.0,2005-02-06,20,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5383.0,2005-02-06,21,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5676.0,2005-02-06,22,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5866.4,2005-02-06,23,Sunday,1,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5789.9,2005-02-07,0,Monday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5698.0,2005-02-07,1,Monday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5539.1,2005-02-07,2,Monday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,5320.5,2005-02-07,3,Monday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4939.3,2005-02-07,4,Monday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4592.2,2005-02-07,5,Monday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4372.2,2005-02-07,6,Monday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Y.C.,4244.0,2005-02-07,7,Monday,0,2,Winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
